real GDP growth ,nominal GDP per capita 2021,Nominal GDP per capita 2020,Nominal GDP 2021 percent of US,Nominal GDP 2020 percent of US,order of covid shutdown,Median Household Income 2020,Population ,Number of households
0.0110,71911.0000,62923.0000,0.0018,0.0017,18.0000,62923.0000,576851.0000,221865.7692
0.0350,56028.0000,52039.0000,0.0016,0.0016,37.0000,52039.0000,643077.0000,247337.3077
0.0280,226861.0000,209471.0000,0.0067,0.0070,1.0000,88311.0000,689545.0000,265209.6154
0.0030,75027.0000,68019.0000,0.0024,0.0024,10.0000,68019.0000,733391.0000,282073.4615
0.0210,81795.0000,70420.0000,0.0028,0.0026,8.0000,70420.0000,779094.0000,299651.5385
0.0490,68357.0000,61762.0000,0.0027,0.0026,19.0000,61762.0000,886667.0000,341025.7692
0.0370,80446.0000,76406.0000,0.0035,0.0037,6.0000,76406.0000,989948.0000,380749.2308
0.0670,53703.0000,47421.0000,0.0026,0.0025,44.0000,47421.0000,1084225.0000,417009.6154
0.0550,60185.0000,55241.0000,0.0029,0.0029,32.0000,55241.0000,1097379.0000,422068.8462
0.0520,55425.0000,50850.0000,0.0033,0.0033,40.0000,50850.0000,1362359.0000,523984.2308
0.0850,70729.0000,63593.0000,0.0043,0.0042,17.0000,63593.0000,1377529.0000,529818.8462
0.0460,62474.0000,57087.0000,0.0039,0.0040,29.0000,57087.0000,1455271.0000,559719.6154
0.0400,49017.0000,42382.0000,0.0038,0.0037,50.0000,42382.0000,1793716.0000,689890.7692
0.0580,49616.0000,45364.0000,0.0041,0.0040,47.0000,45364.0000,1839106.0000,707348.4615
0.0530,76584.0000,68031.0000,0.0066,0.0064,9.0000,68031.0000,1961504.0000,754424.6154
0.0250,51481.0000,46502.0000,0.0048,0.0047,46.0000,46502.0000,2117522.0000,814431.5385
0.0380,65530.0000,59656.0000,0.0084,0.0084,23.0000,59656.0000,2937880.0000,1129953.8462
0.0440,42411.0000,38502.0000,0.0055,0.0055,51.0000,38502.0000,2961279.0000,1138953.4615
0.0500,47770.0000,43407.0000,0.0063,0.0063,49.0000,43407.0000,3011524.0000,1158278.4615
0.0710,61375.0000,54894.0000,0.0084,0.0082,33.0000,54894.0000,3104614.0000,1194082.3077
0.0640,68849.0000,60924.0000,0.0096,0.0094,20.0000,60924.0000,3190369.0000,1227065.0000
0.0670,66011.0000,60201.0000,0.0096,0.0095,22.0000,60201.0000,3271616.0000,1258313.8462
0.0420,82233.0000,76779.0000,0.0130,0.0133,5.0000,76779.0000,3605944.0000,1386901.5385
0.0220,51861.0000,47465.0000,0.0090,0.0091,43.0000,47465.0000,3959353.0000,1522828.0769
0.0540,62867.0000,57474.0000,0.0117,0.0117,26.0000,57474.0000,4237256.0000,1629713.8462
0.0470,52002.0000,47190.0000,0.0103,0.0102,45.0000,47190.0000,4505836.0000,1733013.8462
0.0240,55213.0000,50619.0000,0.0112,0.0113,41.0000,50619.0000,4657757.0000,1791445.0000
0.0410,49027.0000,45155.0000,0.0108,0.0109,48.0000,45155.0000,5024279.0000,1932415.0000
0.0590,52031.0000,47728.0000,0.0118,0.0118,42.0000,47728.0000,5118425.0000,1968625.0000
0.0570,72187.0000,65486.0000,0.0180,0.0180,15.0000,65486.0000,5706494.0000,2194805.3846
0.0580,72597.0000,66142.0000,0.0185,0.0184,14.0000,66142.0000,5773714.0000,2220659.2308
0.0380,62065.0000,57314.0000,0.0160,0.0163,28.0000,57314.0000,5893718.0000,2266814.6154
0.0460,58356.0000,53517.0000,0.0158,0.0159,34.0000,53517.0000,6154913.0000,2367274.2308
0.0320,71083.0000,66531.0000,0.0192,0.0198,13.0000,66531.0000,6177224.0000,2375855.3846
0.0690,61760.0000,55313.0000,0.0184,0.0181,31.0000,55313.0000,6785528.0000,2609818.4615
0.0860,59969.0000,53406.0000,0.0183,0.0178,35.0000,53406.0000,6910840.0000,2658015.3846
0.0640,91129.0000,82948.0000,0.0279,0.0281,3.0000,82948.0000,7029917.0000,2703814.2308
0.0530,56511.0000,52065.0000,0.0180,0.0180,36.0000,52065.0000,7151502.0000,2750577.6923
0.0670,86265.0000,78284.0000,0.0292,0.0291,4.0000,78284.0000,7705281.0000,2963569.6154
0.0400,68483.0000,63662.0000,0.0259,0.0265,16.0000,63662.0000,8631393.0000,3319766.5385
0.0490,72524.0000,66659.0000,0.0294,0.0298,12.0000,66659.0000,9288994.0000,3572690.0000
0.0620,56554.0000,51166.0000,0.0249,0.0248,39.0000,51166.0000,10077331.0000,3875896.5385
0.0670,62077.0000,56404.0000,0.0287,0.0284,30.0000,56404.0000,10439388.0000,4015149.2308
0.0580,63271.0000,58050.0000,0.0299,0.0300,25.0000,58050.0000,10711908.0000,4119964.6154
0.0430,62517.0000,57466.0000,0.0322,0.0326,27.0000,57466.0000,11799448.0000,4538249.2308
0.0500,74052.0000,67137.0000,0.0411,0.0413,11.0000,67137.0000,12812508.0000,4927887.6923
0.0440,64751.0000,59424.0000,0.0367,0.0372,24.0000,59424.0000,13002700.0000,5001038.4615
0.0500,93463.0000,85575.0000,0.0811,0.0831,2.0000,85575.0000,20201249.0000,7769711.1538
0.0690,56301.0000,51277.0000,0.0537,0.0533,38.0000,51277.0000,21538187.0000,8283918.0769
0.0560,67235.0000,60771.0000,0.0869,0.0855,21.0000,60771.0000,29145505.0000,11209809.6154
0.0780,85546.0000,76132.0000,0.1469,0.1449,7.0000,76132.0000,39538223.0000,15207008.8462